iter	Passed	Remaining
0	1	946
1	3	854
2	5	836
3	6	816
4	8	805
5	9	788
6	11	788
7	12	785
8	14	779
9	15	771
10	17	786
11	19	776
12	20	769
13	22	772
14	23	772
15	25	770
16	26	766
17	28	774
18	30	768
19	31	763
20	33	758
21	35	764
22	36	761
23	38	755
24	39	751
25	41	752
26	42	749
27	44	747
28	46	751
29	47	748
30	49	746
31	50	742
32	52	744
33	54	742
34	55	740
35	57	743
36	59	744
37	61	741
38	62	739
39	64	745
40	66	741
41	67	738
42	69	741
43	71	740
44	73	741
45	75	747
46	77	746
47	78	743
48	80	744
49	82	742
50	84	742
51	85	739
52	87	739
53	89	736
54	90	733
55	92	735
56	94	732
57	95	730
58	97	727
59	99	727
60	100	724
61	102	721
62	103	721
63	105	719
64	107	716
65	108	713
66	110	713
67	112	712
68	113	709
69	115	706
70	117	707
71	118	704
72	120	702
73	122	702
74	123	700
75	125	698
76	126	697
77	128	697
78	130	695
79	131	692
80	134	693
81	135	691
82	137	688
83	138	686
84	140	686
85	142	683
86	143	681
87	145	681
88	147	679
89	148	677
90	150	676
91	152	675
92	153	673
93	155	670
94	157	669
95	158	667
96	160	664
97	161	663
98	163	663
99	165	661
100	166	659
101	169	659
102	170	657
103	172	655
104	173	653
105	175	653
106	177	651
107	178	649
108	181	649
109	182	648
110	184	647
111	187	650
112	189	648
113	190	646
114	192	645
115	194	643
116	196	642
117	198	643
118	200	641
119	202	639
120	204	639
121	205	638
122	207	635
123	209	636
124	211	633
125	212	631
126	214	630
127	216	628
128	218	627
129	219	625
130	221	623
131	222	621
132	224	619
133	226	617
134	227	615
135	229	613
136	230	611
137	232	609
138	233	607
139	235	605
140	237	603
141	238	601
142	240	599
143	241	597
144	243	594
145	244	592
146	245	590
147	247	588
148	248	586
149	250	584
150	252	582
151	253	580
152	255	578
153	256	576
154	257	574
155	259	572
156	260	569
157	262	567
158	263	565
159	265	563
160	266	562
161	268	560
162	270	558
163	271	556
164	273	554
165	274	552
166	276	550
167	277	548
168	279	546
169	280	544
170	282	543
171	283	541
172	285	539
173	286	537
174	288	535
175	289	533
176	291	531
