ds,y,yhat,method,train_test,algorithm,DataProcessing
2017-01-01 00:00:00,25998.98734,30079.65882352474,Zone1,train,CatBoost,MaxAbsScaler
2017-01-01 01:00:00,23003.5443,25422.919230029947,Zone1,train,CatBoost,MaxAbsScaler
2017-01-01 02:00:00,21107.8481,23363.658100002896,Zone1,train,CatBoost,MaxAbsScaler
2017-01-01 03:00:00,20530.63291,22062.93205853453,Zone1,train,CatBoost,MaxAbsScaler
2017-01-01 04:00:00,21393.41772,22027.906210309862,Zone1,train,CatBoost,MaxAbsScaler
2017-01-01 05:00:00,22219.74684,22312.800331235783,Zone1,train,CatBoost,MaxAbsScaler
2017-01-01 06:00:00,19983.79747,22887.899832507257,Zone1,train,CatBoost,MaxAbsScaler
2017-01-01 07:00:00,20676.4557,20619.681958819896,Zone1,train,CatBoost,MaxAbsScaler
2017-01-01 08:00:00,24668.35443,22061.961228469987,Zone1,train,CatBoost,MaxAbsScaler
2017-01-01 09:00:00,28149.87342,24644.97960136941,Zone1,train,CatBoost,MaxAbsScaler
2017-01-01 10:00:00,29711.39241,29765.972405985194,Zone1,train,CatBoost,MaxAbsScaler
2017-01-01 11:00:00,30039.493669999996,30313.158609273545,Zone1,train,CatBoost,MaxAbsScaler
2017-01-01 12:00:00,30404.05063,30771.086857916318,Zone1,train,CatBoost,MaxAbsScaler
2017-01-01 13:00:00,30021.265820000004,31285.95960050605,Zone1,train,CatBoost,MaxAbsScaler
2017-01-01 14:00:00,29571.64557,31141.114423958843,Zone1,train,CatBoost,MaxAbsScaler
2017-01-01 15:00:00,29097.721520000003,30568.739637916504,Zone1,train,CatBoost,MaxAbsScaler
2017-01-01 16:00:00,39129.11392,30106.025398535825,Zone1,train,CatBoost,MaxAbsScaler
2017-01-01 17:00:00,39888.60759,37422.004686978355,Zone1,train,CatBoost,MaxAbsScaler
2017-01-01 18:00:00,40544.81013,37325.51799516434,Zone1,train,CatBoost,MaxAbsScaler
2017-01-01 19:00:00,40611.64557,37974.25526404224,Zone1,train,CatBoost,MaxAbsScaler
2017-01-01 20:00:00,39584.81013,38672.02834730299,Zone1,train,CatBoost,MaxAbsScaler
2017-01-01 21:00:00,36953.92405,36308.822833803344,Zone1,train,CatBoost,MaxAbsScaler
2017-01-01 22:00:00,32117.468350000003,35527.10835492563,Zone1,train,CatBoost,MaxAbsScaler
2017-01-01 23:00:00,26703.79747,31785.857315838977,Zone1,train,CatBoost,MaxAbsScaler
2017-01-02 00:00:00,23629.36709,26872.645350029066,Zone1,train,CatBoost,MaxAbsScaler
2017-01-02 01:00:00,21533.16456,24001.58249807703,Zone1,train,CatBoost,MaxAbsScaler
2017-01-02 02:00:00,20372.65823,22568.748999088577,Zone1,train,CatBoost,MaxAbsScaler
2017-01-02 03:00:00,20214.68354,21946.007287065997,Zone1,train,CatBoost,MaxAbsScaler
2017-01-02 04:00:00,21709.36709,21177.22814946617,Zone1,train,CatBoost,MaxAbsScaler
2017-01-02 05:00:00,23769.11392,22930.897392744177,Zone1,train,CatBoost,MaxAbsScaler
2017-01-02 06:00:00,23380.25316,23963.196394611354,Zone1,train,CatBoost,MaxAbsScaler
2017-01-02 07:00:00,25531.13924,23698.45663142159,Zone1,train,CatBoost,MaxAbsScaler
2017-01-02 08:00:00,25980.75949,25120.609605332065,Zone1,train,CatBoost,MaxAbsScaler
2017-01-02 09:00:00,27281.01266,26281.554226877426,Zone1,train,CatBoost,MaxAbsScaler
2017-01-02 10:00:00,28818.227849999996,28151.988838178728,Zone1,train,CatBoost,MaxAbsScaler
2017-01-02 11:00:00,29990.88608,29940.218636497008,Zone1,train,CatBoost,MaxAbsScaler
2017-01-02 12:00:00,29966.582280000002,31066.63658275141,Zone1,train,CatBoost,MaxAbsScaler
2017-01-02 13:00:00,28684.55696,31029.802531051264,Zone1,train,CatBoost,MaxAbsScaler
2017-01-02 14:00:00,29255.696200000002,29697.4912234583,Zone1,train,CatBoost,MaxAbsScaler
2017-01-02 15:00:00,31029.873420000004,30932.33920345799,Zone1,train,CatBoost,MaxAbsScaler
2017-01-02 16:00:00,41565.56962,33735.714108263914,Zone1,train,CatBoost,MaxAbsScaler
2017-01-02 17:00:00,41814.68354,40722.60641987319,Zone1,train,CatBoost,MaxAbsScaler
2017-01-02 18:00:00,41851.13924,41130.038670896545,Zone1,train,CatBoost,MaxAbsScaler
2017-01-02 19:00:00,41316.4557,41307.294847674966,Zone1,train,CatBoost,MaxAbsScaler
2017-01-02 20:00:00,40830.37975,40574.08047879123,Zone1,train,CatBoost,MaxAbsScaler
2017-01-02 21:00:00,37792.40506,38525.16378295221,Zone1,train,CatBoost,MaxAbsScaler
2017-01-02 22:00:00,32785.82278,35587.520658114314,Zone1,train,CatBoost,MaxAbsScaler
2017-01-02 23:00:00,26661.265820000004,32439.343892875826,Zone1,train,CatBoost,MaxAbsScaler
2017-01-03 00:00:00,23422.78481,26612.796273291882,Zone1,train,CatBoost,MaxAbsScaler
2017-01-03 01:00:00,21691.13924,23424.46486368487,Zone1,train,CatBoost,MaxAbsScaler
2017-01-03 02:00:00,20980.25316,22691.301607334648,Zone1,train,CatBoost,MaxAbsScaler
2017-01-03 03:00:00,20299.74684,21924.413050573323,Zone1,train,CatBoost,MaxAbsScaler
2017-01-03 04:00:00,22122.53165,22204.40921941776,Zone1,train,CatBoost,MaxAbsScaler
2017-01-03 05:00:00,24656.20253,23396.50238739202,Zone1,train,CatBoost,MaxAbsScaler
2017-01-03 06:00:00,24662.27848,25153.703142919105,Zone1,train,CatBoost,MaxAbsScaler
2017-01-03 07:00:00,26466.835439999995,24872.743535171358,Zone1,train,CatBoost,MaxAbsScaler
2017-01-03 08:00:00,29383.291139999998,26909.31573632324,Zone1,train,CatBoost,MaxAbsScaler
2017-01-03 09:00:00,32281.51899,29492.410140587323,Zone1,train,CatBoost,MaxAbsScaler
2017-01-03 10:00:00,33332.65823,32940.756278213375,Zone1,train,CatBoost,MaxAbsScaler
2017-01-03 11:00:00,34468.86076,33086.55440505927,Zone1,train,CatBoost,MaxAbsScaler
2017-01-03 12:00:00,34341.26582,34599.74561227809,Zone1,train,CatBoost,MaxAbsScaler
2017-01-03 13:00:00,32694.683539999998,34592.76269528169,Zone1,train,CatBoost,MaxAbsScaler
2017-01-03 14:00:00,32567.08861,35312.68166848715,Zone1,train,CatBoost,MaxAbsScaler
2017-01-03 15:00:00,32688.607590000003,35030.438107038586,Zone1,train,CatBoost,MaxAbsScaler
2017-01-03 16:00:00,42312.91139,35084.022493883465,Zone1,train,CatBoost,MaxAbsScaler
2017-01-03 17:00:00,42993.41772,41867.68526283954,Zone1,train,CatBoost,MaxAbsScaler
2017-01-03 18:00:00,42720.0,41892.08711618803,Zone1,train,CatBoost,MaxAbsScaler
2017-01-03 19:00:00,42519.49367,40672.41286881407,Zone1,train,CatBoost,MaxAbsScaler
2017-01-03 20:00:00,41571.64557,39978.49336668501,Zone1,train,CatBoost,MaxAbsScaler
2017-01-03 21:00:00,37962.53165,38546.62880784758,Zone1,train,CatBoost,MaxAbsScaler
